date,priceArea,productionGroup,quantityKwh_sum,quantityKwh_mean
2025-11-07,NO5,THERMAL,548758.224,22864.926000000003
2025-11-07,NO5,WIND,0.773,0.03220833333333333
2025-11-08,NO1,HYDRO,62799907.9,2616662.8291666666
2025-11-08,NO1,OTHER,601.047,25.043625000000002
2025-11-08,NO1,SOLAR,22585.603,941.0667916666666
2025-11-08,NO1,THERMAL,394748.74,16447.864166666666
2025-11-08,NO1,WIND,44165.210999999996,1840.217125
2025-11-08,NO2,HYDRO,166651951.5,6943831.3125
2025-11-08,NO2,OTHER,1627.789,67.82454166666666
2025-11-08,NO2,SOLAR,6659.893999999999,277.4955833333333
2025-11-08,NO2,THERMAL,388265.955,16177.748125
2025-11-08,NO2,WIND,843524.382,35146.84925
2025-11-08,NO3,HYDRO,70593332.2,2941388.841666667
2025-11-08,NO3,OTHER,569.5070000000001,23.729458333333337
2025-11-08,NO3,SOLAR,1489.511,62.062958333333334
2025-11-08,NO3,THERMAL,537099.28,22379.13666666667
2025-11-08,NO3,WIND,8343564.09,347648.50375
2025-11-08,NO4,HYDRO,80475109.5,3353129.5625
2025-11-08,NO4,OTHER,600.604,25.025166666666667
2025-11-08,NO4,SOLAR,39.614000000000004,1.6505833333333335
2025-11-08,NO4,THERMAL,5631771.0,234657.125
2025-11-08,NO4,WIND,8329863.42,347077.6425
2025-11-08,NO5,*,0.0,0.0
2025-11-08,NO5,HYDRO,91968940.9,3832039.204166667
2025-11-08,NO5,OTHER,896.893,37.37054166666667
2025-11-08,NO5,SOLAR,2414.5319999999997,100.60549999999999
2025-11-08,NO5,THERMAL,679735.933,28322.330541666666
2025-11-08,NO5,WIND,0.7,0.029166666666666664
2025-11-09,NO1,HYDRO,65983083.1,2749295.129166667
2025-11-09,NO1,OTHER,683.7620000000001,28.490083333333335
